Serial_No,Full_Name,Date_of_Birth,Age,Gender,Weight (kg),Height (cm),Contact_No,Date_of_Previous_Blood_Donation,Date_of_Next_Blood_Donation,Availability,Longitude,Latitude,Address,NIC No,Blood Group,Previous Blood Donated Campaign
Y17/D00022,Brendon Lesko,9/6/1994,25,Female,95.55,152.14,776372733,4/3/2020,7/24/2020,Available,6.939094,80.027033,"Hanwella - Malwana Road, , Western Province Dompe, LK",19949595368V,B+,CA/00141
Y17/D00023,Courtney Campion,10/21/2001,18,Male,101.83,146.86,715837482,5/2/2020,8/22/2020,Available,6.836013,79.949,"Rathmal Deniya Road, Pannipitiya, Western Province 10230, LK",20017702567V,B+,CA/00142
Y17/D00024,Dana Ariza,1/13/1996,24,Male,62.15,180.21,715837482,4/15/2020,8/5/2020,Available,6.941226,80.151199,"High Level Road, Kosgama, Western Province 10730, LK",19968956429V,A+,CA/00143
Y17/D00025,Andrew Seguin,10/29/1977,42,Male,100.68,147.83,776372733,3/19/2020,7/9/2020,Available,6.977985,80.114024,"Pugoda - Mandawala Road, Pugoda, Western Province, LK",19774465782V,O+,CA/00144
Y17/D00026,Carl Tolle,3/16/1998,22,Male,86.14,160.05,715837482,4/14/2020,8/4/2020,Available,6.859669,80.115877,"Uggalla-Kelimadala, Meepe, Western Province 10500, LK",19987021530V,B+,CA/00145
Y17/D00027,Edmond Paynter,3/8/1998,22,Female,102.28,146.49,715837482,1/13/2020,5/5/2020,Available,6.753772,79.916262,"Diggala Road, , Western Province 12500, LK",19989722862V,AB+,CA/00146
Y17/D00028,Brendan Rochelle,1/1/1999,21,Male,103.53,145.44,776372733,4/15/2020,8/5/2020,Available,6.803685,79.926629,"Dewala road, Piliyandala, Western Province 10300, LK",19999665123V,B+,CA/00147
Y17/D00029,Garrett Lipinski,1/20/1979,41,Male,50.56,189.95,710113861,3/16/2020,7/6/2020,Available,6.957195,80.104119,"Hanwella-Pugoda Road, Pepiliyawala, Western Province, LK",19794174067V,B+,CA/00148
Y17/D00030,Cyril Legaspi,3/29/1998,22,Male,97.01,150.91,715837482,3/8/2020,6/28/2020,Available,6.7712,80.079234,"Thalgahavila road, Handupelpola, Western Province 12400, LK",19981703135V,B+,CA/00149
Y17/D00031,Marlon Silvestre,1/17/1987,33,Male,79.48,165.65,710113861,1/1/2020,4/23/2020,Available,6.83066,80.104938,"Meeriyagalla Road, Padukka WP, Western Province 10500, LK",19874513929V,A+,CA/00150
Y17/D00032,Clarence Gibb,8/19/1975,44,Male,60.07,181.96,715837482,1/20/2020,5/12/2020,Available,6.879985,79.936239,"1st Lane, Thalawathugoda WP, Western Province 10120, LK",19752979802V,B+,CA/00151
Y17/D00034,Jefferson Loughlin,4/11/1982,38,Male,92.39,154.8,776372733,3/29/2020,7/19/2020,Available,6.889989,80.176684,"Ella Uda Ella, Egodagama, Western Province, LK",19826723058V,B+,CA/00152
Y17/D00035,Brandon Collum,11/18/1985,34,Male,72.07,171.88,776372733,1/17/2020,5/9/2020,Available,6.958318,80.120409,"Boalugoda - Akaravita Road, Akarawita, Western Province 10730, LK",19852133069V,B+,CA/00153
Y17/D00036,Darnell Poppe,6/3/1980,39,Male,78.8,166.21,710113861,2/9/2020,6/1/2020,Available,6.888111,80.015424,"Mullegama Road, Mullegama, Western Province 10200, LK",19801898167V,B+,CA/00154
Y17/D00037,Nathanial Goldfarb,1/27/1992,28,Male,80.63,164.68,715837482,1/20/2020,5/12/2020,Available,6.780526,79.979989,"Southern Expressway, Kahathuduwa Interchange, Western Province 10320, LK",19927961393V,A+,CA/00155
Y17/D00038,Luciano Hockman,2/17/1983,37,Male,52.12,188.64,776372733,4/11/2020,8/1/2020,Available,6.761656,80.097587,"Millawa road, Gorokgoda, Western Province, LK",19832020456V,B+,CA/00156
Y17/D00039,Henry Roux,2/22/1981,39,Female,92.6,154.63,776712741,5/18/2020,9/7/2020,Available,6.869138,80.088294,"High Level Road, Meepe, Western Province 10500, LK",19818175011V,B+,CA/00157
Y17/D00041,Damion Auer,10/26/1987,32,Male,78.66,166.34,715837482,6/3/2020,9/23/2020,Available,6.791406,79.902995,"De Soysa Road, Suwarapola, Western Province 10400, LK",19877176229V,B+,CA/00158
Y17/D00042,Tyron Blakemore,10/29/2000,19,Male,64.19,178.5,776712741,1/27/2020,5/19/2020,Available,6.986327,79.889392,"Colombo-Negombo Road, Wattala, Western Province 11104, LK",20007377373V,O+,CA/00159
Y17/D00044,Octavio Shear,4/17/1994,26,Male,56.95,184.58,715837482,2/17/2020,6/9/2020,Available,6.846099,79.984873,"Malapalla Road, Hospital Junction, Western Province 10200, LK",19947544919V,A+,CA/00160
Y17/D00045,Keven Barthel,10/18/1980,39,Female,93.14,154.17,715837482,2/22/2020,6/14/2020,Not Available,6.861432,80.100605,"Dekaduwala Road, Meepe, Western Province 10500, LK",19806413784V,B+,CA/00161
Y17/D00046,Raul Poulson,11/24/1996,23,Female,89.03,157.62,710113861,5/28/2020,9/17/2020,Available,6.950826,80.095923,"Hanwella-Pugoda Road, Pepiliyawala, Western Province, LK",19961898537V,A+,CA/00162
Y17/D00047,Quentin Salmons,9/29/1986,33,Male,61.94,180.39,776372733,4/22/2020,8/12/2020,Available,6.805364,80.086391,"Hendric Liyanage mawatha, Pahala Millawa North, Western Province, LK",19867575198V,B+,CA/00163
Y17/D00048,Lindsay Blakeslee,9/30/1978,41,Male,55.32,185.95,710113861,4/12/2020,8/2/2020,Available,6.930131,79.842493,"Galle Road, Colombo, Western Province 00100, LK",19783594324V,A+,CA/00164
Y17/D00050,Milford Anderton,5/16/1999,20,Male,53.52,187.47,776372733,6/10/2020,9/30/2020,Available,6.963845,80.108282,"Hanwella-Pugoda Road, Pepiliyawala, Western Province, LK",19995664370V,A+,CA/00165
Y17/D00051,Arthur Kenworthy,10/12/1999,20,Male,78.7,166.3,715837482,4/17/2020,8/7/2020,Available,6.970924,79.879896,"Mill Road, Colombo, Western Province 00009, LK",19995566413V,B+,CA/00166
Y17/D00053,Ryan Brazier,4/2/1981,39,Male,98.56,149.61,776372733,4/7/2020,7/28/2020,Available,6.964137,80.22926,"Avissawella-Kegalla Road, Thimbiripola, Sabaragamuwa Province, LK",19818776091V,AB+,CA/00167
Y17/D00055,Vaughn Kinne,9/2/1991,28,Male,57.03,184.51,715837482,5/22/2020,9/11/2020,Available,6.924249,80.009137,"Vakkiya Waththa Road, Bomiriya, Western Province 10150, LK",19914759956V,A+,CA/00168
Y17/D00056,Leopoldo Thibeault,2/21/1985,35,Male,89.24,157.44,776372733,3/17/2020,7/7/2020,Available,6.847245,80.002927,"Homagama Athurugiriya road, Habarakada, Western Province 10200, LK",19853241873V,B+,CA/00169
Y17/D00057,Quinn Sayer,5/28/2001,18,Male,106.18,143.21,776712741,3/13/2020,7/3/2020,Available,6.924442,79.954062,"Walking Path, Orchid Nivasi Housing Scheme, Western Province 10115, LK",20013806862V,B+,CA/00170
Y17/D00058,Gerard Jakubowski,12/15/1985,34,Male,108.81,141,710113861,6/1/2020,9/21/2020,Available,6.815905,80.049965,"Dampe Road, Dampe, Western Province, LK",19857999170V,B+,CA/00171
Y17/D00059,Florencio Borrelli,4/18/1982,38,Male,82.77,162.89,710113861,5/16/2020,9/5/2020,Not Available,6.941454,80.143656,"Saffron Villa, Kosgama, Western Province 10730, LK",19822906996V,AB+,CA/00172
Y17/D00060,Mohamed Faught,4/17/1976,44,Female,106.25,143.15,776372733,11/28/2020,3/19/2020,Available,6.808547,79.887315,"Maligawa Road, Golumadama Junction, Western Province 10400, LK",19761497281V,O+,CA/00173
Y17/D00061,Milton Delavega,12/29/1991,28,Female,95.82,151.91,776712741,12/19/2020,4/9/2020,Not Available,6.919772,80.074855,"Hanwella - Malwana Road, , Western Province Dompe, LK",19918702305V,A+,CA/00174
Y17/D00062,Gail Brickey,12/16/1995,24,Male,52.25,188.53,710113861,7/18/2020,11/7/2020,Available,6.850015,79.968597,"Malabe-Kottawa Road, Malapalla, Western Province 10230, LK",19956420925V,A+,CA/00175
Y17/D00064,Bernardo Parkes,6/8/1998,21,Male,59.37,182.55,776372733,9/8/2020,12/29/2020,Available,6.945414,80.005452,"Malwana Dekatana Road, Peragas Junction, Western Province 11672, LK",19981336327V,O+,CA/00176
Y17/D00065,Jacinto Helgeson,2/11/1990,30,Male,94.13,153.33,776372733,8/31/2020,12/21/2020,Available,6.916294,79.922331,"Kalapaluwawa Road, Aggona (WP), Western Province 10100, LK",19906660336V,B+,CA/00177
Y17/D00066,Lemuel Priebe,4/22/1987,32,Male,77.88,166.99,710113861,7/30/2020,11/19/2020,Available,6.78975,80.197888,"Foot Path, Napawala, Sabaragamuwa Province, LK",19878126505V,B+,CA/00178
Y17/D00067,Junior Chouinard,10/25/1979,40,Female,87.68,158.76,776712741,11/12/2020,3/3/2020,Available,6.867284,80.219449,"Iddamalgoda Road, Bandarahena, Sabaragamuwa Province, LK",19795750846V,B+,CA/00179
Y17/D00068,Wes Nick,8/22/1995,24,Male,64.77,178.01,715837482,10/29/2020,2/18/2020,Available,6.877487,79.856705,"Kinross Swimming Club Wellawatte, Colombo, Western Province 00600, LK",19954621729V,O+,CA/00180
Y17/D00070,Lino Calderone,5/26/1991,28,Male,70.27,173.39,776372733,9/3/2020,12/24/2020,Available,6.93591,79.971793,"Outer Circular Highway E2, Kaduwela Interchange, Western Province 10115, LK",19913925857V,A+,CA/00181
Y17/D00073,Paris Bova,4/1/1975,45,Male,83.96,161.88,776372733,8/31/2020,12/21/2020,Available,6.913811,80.062378,"Hanwella - Malwana Road, , Western Province Dompe, LK",19754819582V,A+,CA/00182
Y17/D00074,Carrol Ullrich,3/14/1990,30,Male,54.56,186.59,715837482,7/6/2020,10/26/2020,Available,6.862056,80.000811,"Homagama Athurugiriya road, Habarakada, Western Province 10200, LK",19904100545V,O+,CA/00183
Y17/D00075,Charley Twomey,6/5/1999,20,Male,54.62,186.54,715837482,12/23/2020,4/13/2020,Available,6.847065,80.172738,"Pushparama Viharaya, Labugama, Western Province, LK",19991898814V,B+,CA/00184
Y17/D00077,Myron Plasencia,11/10/1997,22,Male,93.08,154.21,710113861,11/2/2020,2/22/2020,Available,6.990087,80.102915,"Pugoda - Mandawala Road, Pugoda, Western Province, LK",19978515434V,B+,CA/00185
Y17/D00078,Lionel Garrard,7/17/2001,18,Female,66.06,176.93,710113861,10/31/2020,2/20/2020,Available,6.913082,79.890267,"New Kolonnawa Road, Sri Jayawardenapura Kotte, Western Province 00800, LK",20012990364V,B+,CA/00186
Y17/D00079,Rob Hegarty,4/16/1980,40,Male,71.92,172,776712741,12/4/2020,3/25/2020,Available,6.881931,79.85585,"Sagara Road, Colombo, Western Province 4, LK",19807344043V,O+,CA/00187
Y17/D00080,Roger Rehman,9/12/1995,24,Male,88.93,157.7,710113861,9/15/2020,1/5/2020,Available,6.809297,79.995851,"Kottawa-Horana Road, Deepangoda, Western Province 10320, LK",19955313750V,B+,CA/00188
Y17/D00081,Erick Scheid,1/9/1997,23,Male,69.07,174.39,715837482,7/8/2020,10/28/2020,Available,6.900036,79.851367,"Marine Drive, Colombo, Western Province 00300, LK",19972171087V,O+,CA/00189
Y17/D00082,Arnoldo Guaman,11/9/1994,25,Female,100.12,148.3,710113861,8/21/2020,12/11/2020,Available,6.864771,80.110478,"Pahathgama-Diddeniya Road, Meepe, Western Province 10500, LK",19946426808V,AB+,CA/00190
Y17/D00083,Dannie Glennon,11/12/1987,32,Female,83.81,162.01,710113861,10/21/2020,2/10/2020,Available,6.91843,79.866184,"E.W. Perera Mawatha, Colombo, Western Province 800, LK",19871117276V,A+,CA/00191
Y17/D00084,Kurtis Mcadoo,10/1/1993,26,Male,57.64,184,776712741,11/2/2020,2/22/2020,Available,6.989554,80.006728,"Makola-Udupila Road, Delgoda WP, Western Province 11672, LK",19939947178V,AB+,CA/00192
Y17/D00085,Jackson Lamontagne,7/3/1976,43,Female,60.66,181.46,776712741,10/25/2020,2/14/2020,Available,6.931703,80.197169,"Hewainna Road, Kiriwandala South, Western Province, LK",19768695788V,O+,CA/00193
Y17/D00086,Riley Dieter,1/6/1996,24,Female,90.34,156.52,715837482,9/6/2020,12/27/2020,Available,6.765819,79.921756,"Bolgoda Lake Villa, Madapatha, Western Province 10400, LK",19968393584V,O+,CA/00194
Y17/D00087,Palmer Ricardo,7/20/1991,28,Male,96.38,151.45,715837482,10/21/2020,2/10/2020,Available,6.899104,80.087719,"High Level Road, Hanwella, Western Province, LK",19916705403V,B+,CA/00195
Y17/D00088,Rodger Wieczorek,9/17/2000,19,Male,56.84,184.67,776372733,7/13/2020,11/2/2020,Available,6.913852,80.043492,"Colombo-Hanwella Low Level Road, Siyambalagas Junction, Western Province, LK",20002502651V,O+,CA/00196
Y17/D00090,Colin Rossiter,7/26/1984,35,Male,69.14,174.33,710113861,10/29/2020,2/18/2020,Available,6.764642,80.094878,"Millawa road, Gorokgoda, Western Province, LK",19848612399V,O+,CA/00197
Y17/D00091,Ken Peet,1/7/1991,29,Female,53.09,187.82,776372733,2/9/2020,6/1/2020,Available,6.737711,80.010518,"Kubuka - Galanigama road, Raigama, Western Province 12404, LK",19912999932V,A+,CA/00140
Y17/D00093,Rocco Kost,12/9/1999,20,Male,70.89,172.87,776712741,1/1/2020,4/23/2020,Not Available,6.773194,80.093113,"Millawa road, Gorokgoda, Western Province, LK",19998549676V,B+,CA/00150
Y17/D00094,Tyrell Mccalla,10/31/1998,21,Female,58.91,182.93,715837482,6/26/2020,10/16/2020,Available,6.868996,80.03076,"Samagi Mawatha, Thambili Uyana, Western Province 10200, LK",19988993368V,O+,CA/00124
Y17/D00095,Jules Bhakta,3/5/2000,20,Male,83.85,161.98,710113861,3/19/2020,7/9/2020,Available,6.807007,80.153155,"Sirimal Road, Wewila, Western Province, LK",20008947739V,B+,CA/00144
Y17/D00097,Bradley Rainer,5/30/1994,25,Female,86.29,159.92,776372733,4/11/2020,8/1/2020,Available,6.930129,79.94309,"Pipe Lane, Mulleriyawa, Western Province 10115, LK",19941636226V,B+,CA/00156
Y17/D00098,Doyle Mower,2/17/1988,32,Female,61.52,180.74,710113861,3/16/2020,7/6/2020,Available,6.912406,80.145695,"Kadugoda Road, Mawalgama, Western Province 10730, LK",19884698586V,O+,CA/00148
Y17/D00099,Frances Cicero,8/29/2001,18,Male,69.29,174.21,710113861,7/8/2020,10/28/2020,Available,6.934702,80.037815,"Hanwella - Malwana Road, , Western Province Dompe, LK",20013348094V,O+,CA/00189
Y17/D00100,Grover Bork,9/1/1985,34,Male,55.8,185.55,776372733,12/23/2020,4/13/2020,Available,6.74053,79.917097,"Gamunu Mawatha, Panadura, Western Province 12500, LK",19854297539V,B+,CA/00184
Y17/D00101,Hollis Lingenfelter,9/7/2001,18,Male,81.29,164.12,776372733,8/31/2020,12/21/2020,Available,6.837776,80.013083,"Mawathgama Road, Pitipana Junction, Western Province 10200, LK",20012140795V,B+,CA/00177
Y17/D00102,Alberto Pickle,1/3/1977,43,Male,97.16,150.79,776372733,10/31/2020,2/20/2020,Available,6.833875,80.180873,"Labugama Tank, Labugama, Western Province, LK",19775480570V,O+,CA/00186
Y17/D00103,Elvis Hedgepeth,1/6/2000,20,Female,53.46,187.51,776712741,10/29/2020,2/18/2020,Available,6.882591,79.941408,"11th Lane, Sri Jayawardenapura Kotte, Western Province 10120, LK",20007651434V,A+,CA/00180
Y17/D00106,Darrin Aker,9/21/1980,39,Male,57.58,184.05,776712741,3/14/2020,7/4/2020,Available,6.846712,79.863012,"Auburn lane, Dehiwala, Western Province 10370, LK",19803066601V,AB+,CA/00126
Y17/D00107,Miquel Vandusen,12/10/1997,22,Female,71.86,172.05,776712741,6/15/2020,10/5/2020,Available,6.948628,79.893872,"Uswatta Road, Colombo, Western Province 09000, LK",19979710097V,B+,CA/00137
Y17/D00108,Filiberto Starke,2/28/2000,20,Female,84.3,161.6,710113861,5/28/2020,9/17/2020,Available,6.958345,79.895006,"Station Road, 4th Mile Post, Western Province 11300, LK",20001612902V,A+,CA/00162
Y17/D00109,Garland Benedetto,8/16/2000,19,Male,73.13,170.98,710113861,4/3/2020,7/24/2020,Available,6.938013,80.089727,"Hanwella-Pugoda Road, Pepiliyawala, Western Province, LK",20008573317V,A+,CA/00141
Y17/D00110,Shaun Lindholm,10/12/2002,17,Male,93.28,154.05,776372733,9/8/2020,12/29/2020,Available,6.94018,79.967318,"Kelaniya-Biyagama Road, , Western Province 11640, LK",20021570492V,B+,CA/00176
Y17/D00111,John Merced,8/4/1998,21,Female,63.23,179.3,776712741,10/29/2020,2/18/2020,Not Available,6.940714,80.2055,"Farnham Division Road, Kiriwandala South, Western Province, LK",19985926652V,O+,CA/00197
Y17/D00113,Amado Normand,3/28/1990,30,Male,83.4,162.35,715837482,5/16/2020,9/5/2020,Available,6.91593,80.021895,"Kakirawa Road, Nawagamuwa, Western Province 10150, LK",19906997301V,B+,CA/00172
Y17/D00114,Winston Cavalier,1/27/1989,31,Male,96.55,151.31,776712741,4/14/2020,8/4/2020,Available,6.782636,79.8766,"Puranappu Raja Mawatha, Moratuwa, Western Province 10400, LK",19899560280V,A+,CA/00145
Y17/D00116,Cecil Rakes,7/9/1984,35,Female,93.56,153.81,710113861,6/3/2020,9/23/2020,Available,6.896061,79.912133,"Sri Lanka Nippon Av, Sri Jayawardenapura Kotte, Western Province 10100, LK",19849209441V,A+,CA/00158
Y17/D00117,Timmy Hassett,1/30/1987,33,Female,76.89,167.82,715837482,1/30/2020,5/22/2020,Available,6.82626,79.999535,"Munasinghegama Road, Hospital Junction, Western Province 10320, LK",19877953865V,A+,CA/00128
Y17/D00118,Levi Echavarria,2/10/1985,35,Male,85.22,160.83,715837482,4/22/2020,8/12/2020,Available,6.92772,79.849957,"Kumaran Ratnam Mawatha, Colombo, Western Province 00100, LK",19854429689V,O+,CA/00163
Y17/D00119,Tyson Nichol,8/30/1977,42,Female,99.91,148.48,776372733,3/2/2020,6/22/2020,Not Available,6.804278,80.05006,"Dampe Road, Dampe, Western Province, LK",19775228444V,O+,CA/00138
Y17/D00120,David Simonsen,3/17/1977,43,Male,56.05,185.34,776372733,4/4/2020,7/25/2020,Available,6.840746,79.923284,"Nallawatta road, Maharagama, Western Province 10280, LK",19774346619V,O+,CA/00136
Y17/D00121,Moises Cavin,3/5/1977,43,Female,103.86,145.16,715837482,6/10/2020,9/30/2020,Available,6.97982,79.929239,"60 N.H.S. Main Road, Kiribathgoda, Western Province 11300, LK",19776558440V,B+,CA/00165
Y17/D00122,Earnest Braga,6/22/1993,26,Male,102.5,146.3,715837482,7/13/2020,11/2/2020,Available,6.821941,80.165477,"Udagama Road, , Western Province, LK",19931744729V,B+,CA/00196
Y17/D00124,Randy Maine,3/8/2002,18,Male,64.75,178.02,715837482,1/6/2020,4/28/2020,Available,6.719833,79.902581,"Egoda Uyana Road, , Western Province, LK",20025108117V,B+,CA/00133
Y17/D00125,Branden Lore,6/4/1998,21,Male,51.41,189.24,710113861,7/30/2020,11/19/2020,Not Available,6.79766,79.999086,"Kahathuduwa-Diyagama road, Kahathuduwa, Western Province 10320, LK",19989738097V,AB+,CA/00178
Y17/D00126,Lesley Brack,7/27/1983,36,Male,54.37,186.75,715837482,11/2/2020,2/22/2020,Available,6.88435,80.104666,"Pahathgama-Diddeniya Road, Waga, Western Province 10500, LK",19831905771V,O+,CA/00192
Y17/D00129,Len Hockett,8/11/1992,27,Male,65.39,177.49,776372733,9/6/2020,12/27/2020,Available,6.874665,80.086728,"High Level Road, Meepe, Western Province 10500, LK",19929120709V,B+,CA/00194
Y17/D00130,Theodore Brewton,2/27/1980,40,Female,88.06,158.43,776372733,3/29/2020,7/19/2020,Available,6.734634,79.922838,"Bekkegama Road, Panadura, Western Province 12500, LK",19809698927V,B+,CA/00152
Y17/D00131,Rod Santucci,4/5/2001,19,Male,92.5,154.71,715837482,1/17/2020,5/9/2020,Available,6.757107,80.083362,"Thalgahavila road, Handupelpola, Western Province 12400, LK",20012704567V,O+,CA/00153
Y17/D00134,Carol Haughton,1/14/1975,45,Female,95.46,152.22,776712741,1/18/2020,5/10/2020,Available,6.872652,80.015459,"Perakum Mawatha, Habarakada, Western Province 10200, LK",19753872353V,O+,CA/00125
Y17/D00135,Rico Kropp,1/13/1983,37,Male,100.93,147.62,776712741,4/10/2020,7/31/2020,Not Available,6.793148,79.901554,"Jaya Mawatha, Suwarapola, Western Province 10400, LK",19834254586V,B+,CA/00130
Y17/D00136,Numbers Sherwin,1/27/1997,23,Male,66.44,176.61,710113861,11/12/2020,3/3/2020,Available,6.826515,80.107442,"Meeriyagalla Road, Padukka WP, Western Province 10500, LK",19977276965V,O+,CA/00179
Y17/D00137,Eddy Hollaway,9/4/1992,27,Female,102.53,146.27,715837482,2/17/2020,6/9/2020,Available,6.994351,80.143934,"Delgoda-Dekatana Road, Pepiliyawala, Western Province, LK",19929455306V,O+,CA/00160
Y17/D00138,Lane Gwynn,2/5/1976,44,Male,62.79,179.67,776712741,5/18/2020,9/7/2020,Available,6.967877,80.01964,"Ulhitiwala Road, Mukalana WP, Western Province 11672, LK",19763964683V,O+,CA/00157
Y17/D00139,Calvin Shock,7/13/1985,34,Male,100.24,148.21,710113861,2/9/2020,6/1/2020,Available,6.970374,79.947313,"Siri Mangala Road, Pelengahahena Junction, Western Province 11640, LK",19852406219V,A+,CA/00154
Y17/D00140,Bill Urbanski,9/10/1989,30,Male,65.67,177.25,776712741,3/3/2020,6/23/2020,Available,6.719696,79.90098,"Egoda Uyana Road, , Western Province, LK",19898028624V,B+,CA/00131
Y17/D00141,Scottie Cornelison,7/1/1987,32,Male,105.57,143.73,776372733,11/2/2020,2/22/2020,Available,6.852533,79.905214,"Library, Nawinna, Western Province 10280, LK",19878051528V,A+,CA/00185
Y17/D00142,Derick Persons,6/11/2000,19,Female,53.47,187.51,776372733,3/17/2020,7/7/2020,Available,6.964518,80.202966,"Kudagama Road, Avissawella, Western Province, LK",20007332871V,B+,CA/00169
Y17/D00143,Haywood Dsouza,2/28/2002,18,Male,106.87,142.63,715837482,9/15/2020,1/5/2020,Available,6.79316,79.915168,"New Hadigama Road, Suwarapola, Western Province 10300, LK",20025805732V,A+,CA/00188
Y17/D00144,Robert Krajewski,6/23/1992,27,Male,78.97,166.08,776712741,7/18/2020,11/7/2020,Available,6.78215,79.89655,"Ihala Indibedda road, Moratuwa, Western Province 10400, LK",19925048829V,A+,CA/00175
Y17/D00145,Carmen Mundt,10/30/2001,18,Female,99.52,148.81,776712741,5/22/2020,9/11/2020,Available,6.852298,80.067174,"Sri Somarathana Mawatha, Naduhena Junction, Western Province 10500, LK",20011409503V,B+,CA/00168
Y17/D00147,Ramiro Scheel,10/12/1984,35,Male,62.53,179.89,776712741,4/17/2020,8/7/2020,Available,6.966184,80.20233,"Kudagama Road, Avissawella, Western Province, LK",19844258270V,O+,CA/00166
Y17/D00148,Raleigh Donahoe,3/13/1995,25,Male,66.41,176.63,776372733,5/2/2020,8/22/2020,Available,6.949778,80.026778,"Malwana-Dompe Road, Karabugas Junction, Western Province Dompe, LK",19958363368V,B+,CA/00142
Y17/D00149,Rhett Poor,9/9/1983,36,Female,70.93,172.83,776372733,5/4/2020,8/24/2020,Available,6.959047,79.943921,"Abandoned Railway, Kelaniya, Western Province 11300, LK",19836959708V,O+,CA/00123
Y17/D00150,Shawn Southall,3/7/1994,26,Female,52.44,188.37,715837482,9/3/2020,12/24/2020,Available,6.990402,80.101812,"Pugoda - Mandawala Road, Pugoda, Western Province, LK",19948486715V,A+,CA/00181
